naics_code,kind_of_business,year,yearly_sales,prev_year_sales,diff,pct_change
441,"Motor vehicle and parts dealers",2010,742913,NULL,NULL,NULL
441,"Motor vehicle and parts dealers",2011,812938,742913,70025,9.43
441,"Motor vehicle and parts dealers",2012,886494,812938,73556,9.05
441,"Motor vehicle and parts dealers",2013,962057,886494,75563,8.52
441,"Motor vehicle and parts dealers",2014,1026740,962057,64683,6.72
441,"Motor vehicle and parts dealers",2015,1103521,1026740,76781,7.48
441,"Motor vehicle and parts dealers",2016,1151720,1103521,48199,4.37
441,"Motor vehicle and parts dealers",2017,1185696,1151720,33976,2.95
441,"Motor vehicle and parts dealers",2018,1204941,1185696,19245,1.62
441,"Motor vehicle and parts dealers",2019,1237744,1204941,32803,2.72
441,"Motor vehicle and parts dealers",2020,1208304,1237744,-29440,-2.38
441,"Motor vehicle and parts dealers",2021,1480124,1208304,271820,22.50
441,"Motor vehicle and parts dealers",2022,1527929,1480124,47805,3.23
4411,"Automobile dealers",2010,621180,NULL,NULL,NULL
4411,"Automobile dealers",2011,684505,621180,63325,10.19
4411,"Automobile dealers",2012,752778,684505,68273,9.97
4411,"Automobile dealers",2013,821791,752778,69013,9.17
4411,"Automobile dealers",2014,880991,821791,59200,7.20
4411,"Automobile dealers",2015,949238,880991,68247,7.75
4411,"Automobile dealers",2016,991812,949238,42574,4.49
4411,"Automobile dealers",2017,1020587,991812,28775,2.90
4411,"Automobile dealers",2018,1035685,1020587,15098,1.48
4411,"Automobile dealers",2019,1065549,1035685,29864,2.88
4411,"Automobile dealers",2020,1023172,1065549,-42377,-3.98
4411,"Automobile dealers",2021,1257870,1023172,234698,22.94
4411,"Automobile dealers",2022,1284189,1257870,26319,2.09
"4411,4412","Automobile and other motor vehicle dealers",2010,664974,NULL,NULL,NULL
"4411,4412","Automobile and other motor vehicle dealers",2011,729974,664974,65000,9.77
"4411,4412","Automobile and other motor vehicle dealers",2012,802359,729974,72385,9.92
"4411,4412","Automobile and other motor vehicle dealers",2013,876528,802359,74169,9.24
"4411,4412","Automobile and other motor vehicle dealers",2014,939932,876528,63404,7.23
"4411,4412","Automobile and other motor vehicle dealers",2015,1012624,939932,72692,7.73
"4411,4412","Automobile and other motor vehicle dealers",2016,1059067,1012624,46443,4.59
"4411,4412","Automobile and other motor vehicle dealers",2017,1092253,1059067,33186,3.13
"4411,4412","Automobile and other motor vehicle dealers",2018,1109994,1092253,17741,1.62
"4411,4412","Automobile and other motor vehicle dealers",2019,1140956,1109994,30962,2.79
"4411,4412","Automobile and other motor vehicle dealers",2020,1110321,1140956,-30635,-2.69
"4411,4412","Automobile and other motor vehicle dealers",2021,1368039,1110321,257718,23.21
"4411,4412","Automobile and other motor vehicle dealers",2022,1403735,1368039,35696,2.61
44111,"New car dealers",2010,549473,NULL,NULL,NULL
44111,"New car dealers",2011,608788,549473,59315,10.79
44111,"New car dealers",2012,672550,608788,63762,10.47
44111,"New car dealers",2013,737082,672550,64532,9.60
44111,"New car dealers",2014,788883,737082,51801,7.03
44111,"New car dealers",2015,848167,788883,59284,7.51
44111,"New car dealers",2016,883452,848167,35285,4.16
44111,"New car dealers",2017,906487,883452,23035,2.61
44111,"New car dealers",2018,918326,906487,11839,1.31
44111,"New car dealers",2019,942836,918326,24510,2.67
44111,"New car dealers",2020,905494,942836,-37342,-3.96
44111,"New car dealers",2021,1095667,905494,190173,21.00
44111,"New car dealers",2022,1123378,1095667,27711,2.53
44112,"Used car dealers",2010,71707,NULL,NULL,NULL
44112,"Used car dealers",2011,75717,71707,4010,5.59
44112,"Used car dealers",2012,80228,75717,4511,5.96
44112,"Used car dealers",2013,84709,80228,4481,5.59
44112,"Used car dealers",2014,92108,84709,7399,8.73
44112,"Used car dealers",2015,101071,92108,8963,9.73
44112,"Used car dealers",2016,108360,101071,7289,7.21
44112,"Used car dealers",2017,114100,108360,5740,5.30
44112,"Used car dealers",2018,117359,114100,3259,2.86
44112,"Used car dealers",2019,122713,117359,5354,4.56
44112,"Used car dealers",2020,117678,122713,-5035,-4.10
44112,"Used car dealers",2021,162203,117678,44525,37.84
44112,"Used car dealers",2022,160811,162203,-1392,-0.86
4413,"Automotive parts, acc., and tire stores",2010,77939,NULL,NULL,NULL
4413,"Automotive parts, acc., and tire stores",2011,82964,77939,5025,6.45
4413,"Automotive parts, acc., and tire stores",2012,84135,82964,1171,1.41
4413,"Automotive parts, acc., and tire stores",2013,85529,84135,1394,1.66
4413,"Automotive parts, acc., and tire stores",2014,86808,85529,1279,1.50
4413,"Automotive parts, acc., and tire stores",2015,90897,86808,4089,4.71
4413,"Automotive parts, acc., and tire stores",2016,92653,90897,1756,1.93
4413,"Automotive parts, acc., and tire stores",2017,93443,92653,790,0.85
4413,"Automotive parts, acc., and tire stores",2018,94947,93443,1504,1.61
4413,"Automotive parts, acc., and tire stores",2019,96788,94947,1841,1.94
4413,"Automotive parts, acc., and tire stores",2020,97983,96788,1195,1.23
4413,"Automotive parts, acc., and tire stores",2021,112085,97983,14102,14.39
4413,"Automotive parts, acc., and tire stores",2022,124193,112085,12108,10.80
442,"Furniture and home furnishings stores",2010,85205,NULL,NULL,NULL
442,"Furniture and home furnishings stores",2011,87586,85205,2381,2.79
442,"Furniture and home furnishings stores",2012,91542,87586,3956,4.52
442,"Furniture and home furnishings stores",2013,95753,91542,4211,4.60
442,"Furniture and home furnishings stores",2014,100551,95753,4798,5.01
442,"Furniture and home furnishings stores",2015,107884,100551,7333,7.29
442,"Furniture and home furnishings stores",2016,112320,107884,4436,4.11
442,"Furniture and home furnishings stores",2017,115309,112320,2989,2.66
442,"Furniture and home furnishings stores",2018,119026,115309,3717,3.22
442,"Furniture and home furnishings stores",2019,120650,119026,1624,1.36
442,"Furniture and home furnishings stores",2020,113023,120650,-7627,-6.32
442,"Furniture and home furnishings stores",2021,141960,113023,28937,25.60
442,"Furniture and home furnishings stores",2022,143457,141960,1497,1.05
"442,443","Furniture, home furn, electronics, and appliance stores",2010,184794,NULL,NULL,NULL
"442,443","Furniture, home furn, electronics, and appliance stores",2011,189564,184794,4770,2.58
"442,443","Furniture, home furn, electronics, and appliance stores",2012,195424,189564,5860,3.09
"442,443","Furniture, home furn, electronics, and appliance stores",2013,199264,195424,3840,1.96
"442,443","Furniture, home furn, electronics, and appliance stores",2014,203395,199264,4131,2.07
"442,443","Furniture, home furn, electronics, and appliance stores",2015,208059,203395,4664,2.29
"442,443","Furniture, home furn, electronics, and appliance stores",2016,206283,208059,-1776,-0.85
"442,443","Furniture, home furn, electronics, and appliance stores",2017,207733,206283,1450,0.70
"442,443","Furniture, home furn, electronics, and appliance stores",2018,213131,207733,5398,2.60
"442,443","Furniture, home furn, electronics, and appliance stores",2019,211584,213131,-1547,-0.73
"442,443","Furniture, home furn, electronics, and appliance stores",2020,189001,211584,-22583,-10.67
"442,443","Furniture, home furn, electronics, and appliance stores",2021,236141,189001,47140,24.94
"442,443","Furniture, home furn, electronics, and appliance stores",2022,230453,236141,-5688,-2.41
4421,"Furniture stores",2010,46664,NULL,NULL,NULL
4421,"Furniture stores",2011,47658,46664,994,2.13
4421,"Furniture stores",2012,49752,47658,2094,4.39
4421,"Furniture stores",2013,51200,49752,1448,2.91
4421,"Furniture stores",2014,53921,51200,2721,5.31
4421,"Furniture stores",2015,58328,53921,4407,8.17
4421,"Furniture stores",2016,60295,58328,1967,3.37
4421,"Furniture stores",2017,61288,60295,993,1.65
4421,"Furniture stores",2018,63301,61288,2013,3.28
4421,"Furniture stores",2019,64198,63301,897,1.42
4421,"Furniture stores",2020,62238,64198,-1960,-3.05
4421,"Furniture stores",2021,78143,62238,15905,25.56
4421,"Furniture stores",2022,78957,78143,814,1.04
4422,"Home furnishings stores",2010,38541,NULL,NULL,NULL
4422,"Home furnishings stores",2011,39928,38541,1387,3.60
4422,"Home furnishings stores",2012,41790,39928,1862,4.66
4422,"Home furnishings stores",2013,44553,41790,2763,6.61
4422,"Home furnishings stores",2014,46630,44553,2077,4.66
4422,"Home furnishings stores",2015,49556,46630,2926,6.27
4422,"Home furnishings stores",2016,52025,49556,2469,4.98
4422,"Home furnishings stores",2017,54021,52025,1996,3.84
4422,"Home furnishings stores",2018,55725,54021,1704,3.15
4422,"Home furnishings stores",2019,56452,55725,727,1.30
4422,"Home furnishings stores",2020,35131,56452,-21321,-37.77
4422,"Home furnishings stores",2021,NULL,35131,NULL,NULL
4422,"Home furnishings stores",2022,NULL,NULL,NULL,NULL
44221,"Floor covering stores",2010,14573,NULL,NULL,NULL
44221,"Floor covering stores",2011,14758,14573,185,1.27
44221,"Floor covering stores",2012,15483,14758,725,4.91
44221,"Floor covering stores",2013,16893,15483,1410,9.11
44221,"Floor covering stores",2014,18023,16893,1130,6.69
44221,"Floor covering stores",2015,19524,18023,1501,8.33
44221,"Floor covering stores",2016,20961,19524,1437,7.36
44221,"Floor covering stores",2017,2974,20961,-17987,-85.81
44221,"Floor covering stores",2018,NULL,2974,NULL,NULL
44221,"Floor covering stores",2019,NULL,NULL,NULL,NULL
44221,"Floor covering stores",2020,NULL,NULL,NULL,NULL
44221,"Floor covering stores",2021,NULL,NULL,NULL,NULL
44221,"Floor covering stores",2022,NULL,NULL,NULL,NULL
442299,"All other home furnishings stores",2010,22868,NULL,NULL,NULL
442299,"All other home furnishings stores",2011,24080,22868,1212,5.30
442299,"All other home furnishings stores",2012,25195,24080,1115,4.63
442299,"All other home furnishings stores",2013,26428,25195,1233,4.89
442299,"All other home furnishings stores",2014,27241,26428,813,3.08
442299,"All other home furnishings stores",2015,28607,27241,1366,5.01
442299,"All other home furnishings stores",2016,29513,28607,906,3.17
442299,"All other home furnishings stores",2017,29876,29513,363,1.23
442299,"All other home furnishings stores",2018,30045,29876,169,0.57
442299,"All other home furnishings stores",2019,30597,30045,552,1.84
442299,"All other home furnishings stores",2020,16761,30597,-13836,-45.22
442299,"All other home furnishings stores",2021,NULL,16761,NULL,NULL
442299,"All other home furnishings stores",2022,NULL,NULL,NULL,NULL
443,"Electronics and appliance stores",2010,99589,NULL,NULL,NULL
443,"Electronics and appliance stores",2011,101978,99589,2389,2.40
443,"Electronics and appliance stores",2012,103882,101978,1904,1.87
443,"Electronics and appliance stores",2013,103511,103882,-371,-0.36
443,"Electronics and appliance stores",2014,102844,103511,-667,-0.64
443,"Electronics and appliance stores",2015,100175,102844,-2669,-2.60
443,"Electronics and appliance stores",2016,93963,100175,-6212,-6.20
443,"Electronics and appliance stores",2017,92424,93963,-1539,-1.64
443,"Electronics and appliance stores",2018,94105,92424,1681,1.82
443,"Electronics and appliance stores",2019,90934,94105,-3171,-3.37
443,"Electronics and appliance stores",2020,75978,90934,-14956,-16.45
443,"Electronics and appliance stores",2021,94181,75978,18203,23.96
443,"Electronics and appliance stores",2022,86996,94181,-7185,-7.63
443141,"Household appliance stores",2010,15456,NULL,NULL,NULL
443141,"Household appliance stores",2011,15807,15456,351,2.27
443141,"Household appliance stores",2012,16415,15807,608,3.85
443141,"Household appliance stores",2013,17194,16415,779,4.75
443141,"Household appliance stores",2014,17202,17194,8,0.05
443141,"Household appliance stores",2015,17294,17202,92,0.53
443141,"Household appliance stores",2016,17527,17294,233,1.35
443141,"Household appliance stores",2017,16806,17527,-721,-4.11
443141,"Household appliance stores",2018,16938,16806,132,0.79
443141,"Household appliance stores",2019,16925,16938,-13,-0.08
443141,"Household appliance stores",2020,18202,16925,1277,7.55
443141,"Household appliance stores",2021,21241,18202,3039,16.70
443141,"Household appliance stores",2022,20559,21241,-682,-3.21
443142,"Electronics stores",2010,84133,NULL,NULL,NULL
443142,"Electronics stores",2011,86171,84133,2038,2.42
443142,"Electronics stores",2012,87467,86171,1296,1.50
443142,"Electronics stores",2013,86317,87467,-1150,-1.31
443142,"Electronics stores",2014,85642,86317,-675,-0.78
443142,"Electronics stores",2015,82881,85642,-2761,-3.22
443142,"Electronics stores",2016,76436,82881,-6445,-7.78
443142,"Electronics stores",2017,75618,76436,-818,-1.07
443142,"Electronics stores",2018,77167,75618,1549,2.05
443142,"Electronics stores",2019,74009,77167,-3158,-4.09
443142,"Electronics stores",2020,57776,74009,-16233,-21.93
443142,"Electronics stores",2021,72940,57776,15164,26.25
443142,"Electronics stores",2022,66437,72940,-6503,-8.92
444,"Building mat. and garden equip. and supplies dealers",2010,260566,NULL,NULL,NULL
444,"Building mat. and garden equip. and supplies dealers",2011,269480,260566,8914,3.42
444,"Building mat. and garden equip. and supplies dealers",2012,281533,269480,12053,4.47
444,"Building mat. and garden equip. and supplies dealers",2013,299578,281533,18045,6.41
444,"Building mat. and garden equip. and supplies dealers",2014,313527,299578,13949,4.66
444,"Building mat. and garden equip. and supplies dealers",2015,323979,313527,10452,3.33
444,"Building mat. and garden equip. and supplies dealers",2016,337699,323979,13720,4.23
444,"Building mat. and garden equip. and supplies dealers",2017,349365,337699,11666,3.45
444,"Building mat. and garden equip. and supplies dealers",2018,367655,349365,18290,5.24
444,"Building mat. and garden equip. and supplies dealers",2019,373321,367655,5666,1.54
444,"Building mat. and garden equip. and supplies dealers",2020,422211,373321,48890,13.10
444,"Building mat. and garden equip. and supplies dealers",2021,477790,422211,55579,13.16
444,"Building mat. and garden equip. and supplies dealers",2022,509748,477790,31958,6.69
4441,"Building mat. and supplies dealers",2010,225712,NULL,NULL,NULL
4441,"Building mat. and supplies dealers",2011,232649,225712,6937,3.07
4441,"Building mat. and supplies dealers",2012,242176,232649,9527,4.10
4441,"Building mat. and supplies dealers",2013,257726,242176,15550,6.42
4441,"Building mat. and supplies dealers",2014,270148,257726,12422,4.82
4441,"Building mat. and supplies dealers",2015,281279,270148,11131,4.12
4441,"Building mat. and supplies dealers",2016,294954,281279,13675,4.86
4441,"Building mat. and supplies dealers",2017,305471,294954,10517,3.57
4441,"Building mat. and supplies dealers",2018,322681,305471,17210,5.63
4441,"Building mat. and supplies dealers",2019,327257,322681,4576,1.42
4441,"Building mat. and supplies dealers",2020,368503,327257,41246,12.60
4441,"Building mat. and supplies dealers",2021,416262,368503,47759,12.96
4441,"Building mat. and supplies dealers",2022,444455,416262,28193,6.77
44412,"Paint and wallpaper stores",2010,7972,NULL,NULL,NULL
44412,"Paint and wallpaper stores",2011,8423,7972,451,5.66
44412,"Paint and wallpaper stores",2012,9134,8423,711,8.44
44412,"Paint and wallpaper stores",2013,9419,9134,285,3.12
44412,"Paint and wallpaper stores",2014,10233,9419,814,8.64
44412,"Paint and wallpaper stores",2015,10605,10233,372,3.64
44412,"Paint and wallpaper stores",2016,10974,10605,369,3.48
44412,"Paint and wallpaper stores",2017,11536,10974,562,5.12
44412,"Paint and wallpaper stores",2018,12208,11536,672,5.83
44412,"Paint and wallpaper stores",2019,12642,12208,434,3.56
44412,"Paint and wallpaper stores",2020,13743,12642,1101,8.71
44412,"Paint and wallpaper stores",2021,15000,13743,1257,9.15
44412,"Paint and wallpaper stores",2022,16676,15000,1676,11.17
44413,"Hardware stores",2010,18706,NULL,NULL,NULL
44413,"Hardware stores",2011,20041,18706,1335,7.14
44413,"Hardware stores",2012,20747,20041,706,3.52
44413,"Hardware stores",2013,21229,20747,482,2.32
44413,"Hardware stores",2014,23002,21229,1773,8.35
