industry,kind_of_business,total_sales,rnk
Automotive,"Motor vehicle and parts dealers",14531121,1
"Fashion & Accessories","Clothing and clothing access. stores",3302936,1
"Food & Beverage","Food and beverage stores",9451004,1
"Fuel & Gasoline","Gasoline stations",6811521,1
"General Merchandise","General merchandise stores",9038491,1
"Health & Personal Care","Health and personal care stores",4149035,1
"Home Goods & Building Supplies","Building mat. and garden equip. and supplies dealers",4586452,1
"Home Goods & Electronics","Electronic shopping and mail-order houses",7351761,1
Miscellaneous,"Nonstore retailers",8511856,1
"Office Supplies & Gifts","Office supplies, stationery, and gift stores",405487,1
"Restaurants & Bars","Food services and drinking places",8635492,1
"Sports & Recreation","Sporting goods, hobby, musical instrument, and book stores",1123028,1
